PhaseID,PhaseName,PhaseGoal,PhaseStartDate,PhaseEndDate,ShoulderNotes,GripStatus,SessionID,SessionDate,ProgramDay,PhaseWeek,WorkoutName,SessionStartTime,SessionEndTime,ExerciseLogID,ExerciseName,Category,MovementPattern,MuscleGroup,IsUnilateral,IsTimed,SetNumber,WeightLbs,Reps,DurationSeconds,DistanceValue,DistanceUnit,TempoEccentric,TempoPause,TempoConcentric,RIR,SupersetGroupID,GeneralNotes,ExerciseDateTime
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0001,Farmer's Walk,Carry,Carry,Other,FALSE,TRUE,1,140,,60,,,,,,,,,2026-01-03T19:42:08.996Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0002,Farmer's Walk,Carry,Carry,Other,FALSE,TRUE,2,140,,60,,,,,,,,,2026-01-03T19:44:16.831Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0003,Farmer's Walk,Carry,Carry,Other,FALSE,TRUE,3,140,,45,,,,,,,,,2026-01-03T19:46:31.514Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0004,Farmer's Walk,Carry,Carry,Other,FALSE,TRUE,4,140,,39.6,,,,,,,,,2026-01-03T19:48:31.439Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0005,Farmer's Walk,Carry,Carry,Other,FALSE,TRUE,5,140,,39.6,,,,,,,,,2026-01-03T19:50:30.621Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0006,Body Row,Pull,Pull,Back;Chest;Neck;Waist,FALSE,FALSE,1,0,10,,,,2,1,2,,,Tempo 2-1-2,2026-01-03T19:56:10.985Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0007,Body Row,Pull,Pull,Back;Chest;Neck;Waist,FALSE,FALSE,2,0,8,,,,2,1,2,,,Tempo 2-1-2,2026-01-03T19:57:44.745Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0008,Body Row,Pull,Pull,Back;Chest;Neck;Waist,FALSE,FALSE,3,0,8,,,,2,1,2,,,Tempo 2-1-2,2026-01-03T19:59:28.012Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0009,Body Row,Pull,Pull,Back;Chest;Neck;Waist,FALSE,FALSE,4,0,7,,,,2,1,2,,,Tempo 2-1-2; grip slipping on 6-7 (sweat and a little fatigue),2026-01-03T20:01:51.758Z
1,Phase 1 - Foundation,Establish baseline movement patterns and load tolerance,2026-01-03,2026-01-07,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,S-20260103-01,1/3/2026,1,1,Phase 1 -  Day 1: Carries + Pull (Strength Bias),2026-01-03T19:42:08.996Z,2026-01-03T20:20:52.571Z,E-20260103-0010,Neutral Grip Seated 2 Arm Row,Pull,Pull,Back,FALSE,FALSE,1,100,10,,,,,,,,,"Shoulder width neutral grip (i.e., wide grip neutral attachment)",2026-01-03T20:04:43.861Z
