SectionName,SectionOrder,ExerciseName,MuscleGroup,MovementPattern,Category,EquipmentType,IsUnilateral,IsTimed,ID,PrimaryDetail,SecondaryDetail,Laterality,ShoulderSafetyNotes,Notes,OriginalName,StandardName
ExerciseNameMap,,,,,,,,,,,,,,,1 Arm Cable Curl,Standing Single Arm Cable Curl
ExerciseNameMap,,,,,,,,,,,,,,,DB Romanian Deadlift (RDL),Dumbbell Romanian Deadlift
ExerciseNameMap,,,,,,,,,,,,,,,Incline Dumbell Curl (Supinated),Incline Dumbbell Curl (Supinated)
ExerciseNameMap,,,,,,,,,,,,,,,Dumbbell Incline Curl,Incline Dumbbell Curl (Supinated)
ExerciseNameMap,,,,,,,,,,,,,,,Half-Kneeling Single-Arm Cable Pulldow,Half-Kneeling Single-Arm Cable Pulldown
ExerciseNameMap,,,,,,,,,,,,,,,Cable: Kneeling 1Arm Overhead Extension,Kneeling Single Arm Rope Cable Extension
ExerciseNameMap,,,,,,,,,,,,,,,Dumbbell: Squeeze Curl - Hammer,Dumbbell: Squeeze Curl - Neutral
ExerciseNameMap,,,,,,,,,,,,,,,Standing Single Arm Extension (D-Grip),Single Arm Cable Extensions
ExerciseNameMap,,,,,,,,,,,,,,,Cable Triceps Extension - “Quad”,"Cable Triceps Extension - ""Quad"""
ExerciseNameMap,,,,,,,,,,,,,,,,
ExerciseNameMap,,,,,,,,,,,,,,,,
ExerciseNameMap,,,,,,,,,,,,,,,,
Equipment,,Band,,,-,,,,"EQ-BAND-R	Resistance","Red	Band	Various	Personal	Light",resistance,,,,,
Equipment,,Band,,,-,,,,"EQ-BAND-G	Resistance","Green	Band	Various	Personal	Heavy",resistance,,,,,
Equipment,,Band,,,-,,,,"EQ-BAND-B	Resistance","Blue	Band	Various	Personal	Medium",resistance,,,,,
Equipment,,"Band	Band	Various	Personal	Red,",,,"blue,",,,,"EQ-BAND	Resistance",green,bands,,,,,
Equipment,,"Bench	Accessory	Various	Multiple	Adjustable",,,incline,,,,"EQ-BENCH	Adjustable",bench,,,,,,
Equipment,,"Bike	Cardio	Various	Multiple	Upright",,,or,,,,"EQ-BIKE	Stationary",recumbent,stationary,,,bike,,
Equipment,,Cable,,,"Pulley	Cable	Various	Multiple	Single",,,,"EQ-CAB	Adjustable",or,dual,,,adjustable,,
Equipment,,Cable,,,"Machine	Cable	Hoist	Hotel",,,,"EQ-HOIST	Hoist","Gyms	Hoist",brand,,,cable,,
Equipment,,Chest,,,"Press	Selectorized",,,,"EQ-LF-CP	LifeFitness","Machine	LifeFitness	Planet","Fitness	Selectorized",,,chest,,
Equipment,,Chest,,,"Press	Selectorized",,,,"EQ-PRE-CP	Precor","Machine	Precor	Hotel","Gyms	Precor",,,selectorized,,
Equipment,,"Equipment	Various	NXGen	NXGen",,,"Gym	NXGen",,,,"EQ-NXGEN	NXGen",facility,equipment,,,,,
Equipment,,FTS,,,"Glide	Cable	Precor	LI",,,,"EQ-PRE-FTS	Precor","Marriott	Precor",functional,,,training,,
Equipment,,Low,,,"Row	Selectorized",,,,"EQ-LF-LR	LifeFitness","Machine	LifeFitness	Planet","Fitness	Seated",,,low,,
Equipment,,Machine,,,"Row	Selectorized",,,,"EQ-LF-MR	LifeFitness","Machine	LifeFitness	Planet","Fitness	Chest-supported",,,selectorized,,
Equipment,,Machine,,,"(Generic)	Selectorized",,,,"EQ-MCH	Selectorized","Machine	Various	Multiple	Generic",selectorized,,,machines,,
Equipment,,"Machine	Plate-Loaded",,,"Machine	Various	Multiple	Vertical",,,,"EQ-SM	Smith",or,angled,,,smith,,
Equipment,,"Machine	Plate-Loaded",,,"Machine	Various	Multiple	Generic",,,,"EQ-PLM	Plate-Loaded",plate-loaded,machines,,,,,
