ExerciseName,MuscleGroup,MovementPattern,Category,EquipmentType,IsUnilateral,IsTimed
Alternate Seated DB Curl,,Curl,Arms_Biceps,,True,False
Anchored Single Arm Dumbbell Curl,,Curl,Arms_Biceps,,True,False
Cross Body Cable Curl,,Curl,Arms_Biceps,,True,False
DB Cross Body Curl (Hammer Grip),Other,Curl,Arms_Biceps,Bodyweight,True,False
DB Spider Curl (Hammer),Upper Arms,Curl,Arms_Biceps,Dumbbells,False,False
Dumbbell: Squeeze Curl - Neutral,Upper Arms,Curl,Arms_Biceps,Dumbbells,False,False
Hammer Curls with Rope and Cable,,Curl,Arms_Biceps,,False,False
Incline DB Hammer Curl,Upper Arms,Curl,Arms_Biceps,Dumbbells,False,False
Incline Dumbbell Curl (Supinated),Upper Arms,Curl,Arms_Biceps,Dumbbells;Bench,False,False
Seated Single Arm DB Curl - Anchored,Upper Arms,Curl,Arms_Biceps,Dumbbells,True,False
Single Arm Rope Curl (extended Arm Position ),,Curl,Arms_Biceps,,True,False
Standing One Arm Bicep Curl with Cable (Anchored),Forearms;Upper Arms,Curl,Arms_Biceps,Machine,True,False
Standing One Arm Extended Cable Curls,Upper Arms,Curl,Arms_Biceps,Machine,True,False
Standing Single Arm Cable Curl,Upper Arms,Curl,Arms_Biceps,Machine,True,False
Cable Push-Downs,Upper Arms,Extension,Arms_Triceps,Machine,False,False
Cable Triceps Extension - “Quad”,Upper Arms,Extension,Arms_Triceps,Machine,False,False
High Cable Tricep Pushdown,,Extension,Arms_Triceps,,False,False
Kneeling Single Arm Rope Cable Extension,,Extension,Arms_Triceps,,True,False
Rope Push-Downs,Upper Arms,Extension,Arms_Triceps,Machine,False,False
Single Arm Cable Extensions,Upper Arms,Extension,Arms_Triceps,Machine,True,False
Single-Arm Cable Triceps Extension (Cross-Body),Upper Arms,Extension,Arms_Triceps,Machine,True,False
Single-Arm Overhead Cable Extension,,Extension,Arms_Triceps,,True,False
Vertical DB Scap extension,,Extension,Arms_Triceps,,False,False
Cycling,,Cardio,Cardio,,False,True
Endless Rope,,Cardio,Cardio,,False,True
Treadmill Walking,Cardio,Cardio,Cardio,Machine,False,True
Dead Hang,Other,Hang,Carry,Bodyweight,False,True
Farmer's Walk,Other,Carry,Carry,Dumbbells,False,True
Farmer’s Hold,Other,Carry,Carry,Bodyweight,False,True
Plate Pinch,,Pinch,Carry,,False,True
