ExerciseID,ExerciseName,MovementPattern,PrimaryMuscle,SecondaryMuscles,DefaultEquipmentID,Laterality,ExerciseCategory,IsTimeBased,IsDistanceBased,PreferredReplacements,ShoulderSafetyNotes,Notes
EX-FW,Farmer's Walk,Carry,Forearms,Traps; Core; Shoulders,EQ-DB,Bilateral,Carry,True,False,,Well tolerated,Primary grip and carry exercise throughout all phases  
EX-FH,Farmer's Hold,Hold,Forearms,Traps; Core,EQ-DB,Bilateral,Hold,True,False,EX-FW,,Static hold version of farmer's walk  
EX-SC,Suitcase Carries,Carry,Forearms,Obliques; Core; Traps,EQ-DB,Unilateral,Carry,True,False,,Well tolerated,Single-side carry emphasizing anti-lateral flexion  
EX-SH,Suitcase Holds,Hold,Forearms,Obliques; Core,EQ-DB,Unilateral,Hold,True,False,EX-SC,,Static hold version of suitcase carry  
EX-BR,Body Row,Pull,Back,Biceps; Forearms; Core,EQ-BB,Bilateral,Compound,False,False,,Well tolerated,Inverted row using barbell in rack  
EX-MR,Machine Row,Pull,Back,Biceps; Forearms,EQ-LF-MR,Bilateral,Compound,False,False,EX-NGSR,Well tolerated,Chest-supported selectorized row  
EX-NGSR,Neutral Grip Seated 2 Arm Row,Pull,Back,Biceps; Forearms,EQ-CAB,Bilateral,Compound,False,False,EX-MR,Well tolerated,Seated cable row with neutral grip attachment  
EX-CSDR,Chest Supported DB Row (Spider),Pull,Back,Biceps; Rear Delts; Forearms,EQ-DB,Bilateral,Compound,False,False,,Well tolerated,Incline bench chest-supported dumbbell row  
EX-SANGCP,Single-Arm Neutral Grip Cable Pulldown,Pull,Lats,Biceps; Forearms; Rear Delts,EQ-CAB,Unilateral,Compound,False,False,,Slight lean back eliminates anterior capsule awareness,Primary lat exercise from Phase 3 onward  
EX-KCR,Kneeling Cable Row,Pull,Back,Biceps; Core; Forearms,EQ-CAB,Bilateral,Compound,False,False,EX-NGSR,Well tolerated,Kneeling position at seated cable row  
EX-HKSAR,Half-Kneeling Single Arm Cable Row,Pull,Back,Core; Biceps; Forearms,EQ-CAB,Unilateral,Compound,False,False,,Well tolerated,Half-kneeling unilateral cable row  
EX-HKSARCR,"Half-Kneeling Single-Arm Cable Row, Low-to-High Finish",Pull,Back,Rear Delts; Core; Biceps,EQ-CAB,Unilateral,Compound,False,False,EX-HKSAR,Well tolerated,Low-to-high finish variant  
EX-SACRS,Single-Arm Cable Row (Split Stance),Pull,Back,Core; Biceps; Forearms,EQ-CAB,Unilateral,Compound,False,False,EX-HKSAR,Well tolerated,Split stance cable row  
EX-SCVNGR,Seat Cable Row (V / Narrow Neutral Grip),Pull,Back,Biceps; Forearms,EQ-CAB,Bilateral,Compound,False,False,EX-NGSR,Well tolerated,V-grip narrow neutral cable row  
EX-PLSR,Plate Loaded Seated Row,Pull,Back,Biceps; Forearms,EQ-PLM,Bilateral,Compound,False,False,EX-MR,Well tolerated,Plate-loaded seated row machine  
EX-FP,Face Pull,Pull,Rear Delts,Traps; Rhomboids; External Rotators,EQ-CAB,Bilateral,Isolation,False,False,,Well tolerated,Standard face pull with rope  
EX-FPWR,Face Pull (w External Rotation),Pull,Rear Delts,External Rotators; Traps; Rhomboids,EQ-CAB,Bilateral,Isolation,False,False,EX-FP,Monitor right shoulder during external rotation,Face pull with added external rotation component  
EX-RDCF,Rear Delt Cable Fly,Pull,Rear Delts,Rhomboids; Traps,EQ-CAB,Bilateral,Isolation,False,False,EX-FP,Well tolerated,Standing cable rear delt fly  
EX-CSRDF,Chest Supported Rear Delt Fly,Pull,Rear Delts,Rhomboids; Traps,EQ-DB,Bilateral,Isolation,False,False,EX-RDCF,Well tolerated,Incline bench chest-supported rear delt fly  
EX-SADBC-A,Seated Single Arm DB Curl - Anchored,Isolation,Biceps,Forearms; Brachialis,EQ-DB,Unilateral,Isolation,False,False,,Well tolerated,Seated single-arm curl with opposite hand anchored  
EX-ADBC,Anchored Single Arm Dumbbell Curl,Isolation,Biceps,Forearms; Brachialis,EQ-DB,Unilateral,Isolation,False,False,EX-SADBC-A,Well tolerated,Standing or seated anchored curl  
EX-SOAECC,Standing One Arm Extended Cable Curls,Isolation,Biceps,Forearms; Brachialis,EQ-CAB,Unilateral,Isolation,False,False,,Well tolerated,Cable curl with arm extended behind body  
EX-SOABCC,Standing One Arm Bicep Curl with Cable (Anchored),Isolation,Biceps,Forearms; Brachialis,EQ-CAB,Unilateral,Isolation,False,False,EX-SOAECC,Well tolerated,Cable curl with elbow anchored  
EX-IDC,Incline Dumbell Curl (Supinated),Isolation,Biceps,Forearms,EQ-DB,Bilateral,Isolation,False,False,,Well tolerated,Incline bench supinated dumbbell curl  
EX-IDCH,Incline DB Hammer Curl,Isolation,Brachialis,Biceps; Forearms,EQ-DB,Bilateral,Isolation,False,False,EX-IDC,Well tolerated,Incline bench hammer grip curl  
EX-DSCH,DB Spider Curl (Hammer),Isolation,Brachialis,Biceps; Forearms,EQ-DB,Bilateral,Isolation,False,False,,Well tolerated,Spider curl on incline bench with hammer grip  
EX-ASDBC,Alternate Seated DB Curl,Isolation,Biceps,Forearms; Brachialis,EQ-DB,Alternating,Isolation,False,False,,Well tolerated,Alternating seated dumbbell curl with supination  
EX-SARCC,Single Arm Rope Curl (extended Arm Position),Isolation,Biceps,Brachialis; Forearms,EQ-CAB,Unilateral,Isolation,False,False,EX-SOAECC,Well tolerated,Single arm cable curl with rope grip  
EX-HCRC,Hammer Curls with Rope and Cable,Isolation,Brachialis,Biceps; Forearms,EQ-CAB,Bilateral,Isolation,False,False,,Well tolerated,Rope attachment hammer curl on cable  
EX-CBCC,Cross Body Cable Curl,Isolation,Biceps,Brachialis; Forearms,EQ-CAB,Unilateral,Isolation,False,False,,Well tolerated,Cross-body cable curl  
EX-SACCC,Standing Single Arm Cable Curl,Isolation,Biceps,Forearms; Brachialis,EQ-CAB,Unilateral,Isolation,False,False,EX-SOAECC,Well tolerated,Standard single arm cable curl  
EX-DBC,Dumbbell Incline Curl,Isolation,Biceps,Forearms,EQ-DB,Bilateral,Isolation,False,False,EX-IDC,Well tolerated,Incline dumbbell curl variant  
EX-1ACC,1 Arm Cable Curl,Isolation,Biceps,Forearms,EQ-CAB,Unilateral,Isolation,False,False,,Well tolerated,Single arm cable curl  
EX-DBSCN,Dumbbell: Squeeze Curl - Neutral,Isolation,Biceps,Brachialis; Forearms,EQ-DB,Bilateral,Isolation,False,False,,Well tolerated,Dumbbell squeeze curl variations  
EX-DSCH2,Dumbbell: Squeeze Curl - Hammer,Isolation,Brachialis,Biceps; Forearms,EQ-DB,Bilateral,Isolation,False,False,,Well tolerated,Hammer grip squeeze curl  
EX-DBCBH,DB Cross Body Curl (Hammer Grip),Isolation,Brachialis,Biceps; Forearms,EQ-DB,Unilateral,Isolation,False,False,,Well tolerated,Cross body hammer curl with dumbbell  
EX-NGDFP,Neutral Grip Dumbbell Floor Press,Push,Chest,Triceps; Anterior Delts,EQ-DB,Bilateral,Compound,False,False,,Right anterior capsule awareness during heavy sets; neutral grip well tolerated,Primary pressing movement from Phase 6 onward  
EX-SMBP,Smith Machine Bench Press,Push,Chest,Triceps; Anterior Delts,EQ-SM,Bilateral,Compound,False,False,EX-NGDFP,Right anterior capsule tightness; monitor closely,Used in Phases 3-4  
EX-SPML,Supine Press Machine - Plate Loaded (Planet Fitness),Push,Chest,Triceps; Anterior Delts,EQ-PLM,Bilateral,Compound,False,False,EX-NGDFP,Some right capsule tightness at higher weights,Planet Fitness specific plate-loaded press  
EX-DBNP,DB Neutral Press (slight Rotate To Underhand),Push,Chest,Triceps; Anterior Delts,EQ-DB,Bilateral,Compound,False,False,EX-NGDFP,Neutral grip well tolerated,Floor press or bench press with neutral grip and slight underhand rotation  
EX-LIDBP,Low-Incline DB Press (15-30°),Push,Upper Chest,Triceps; Anterior Delts,EQ-DB,Bilateral,Compound,False,False,,Left trap compensation noted; monitor,Low incline dumbbell press  
EX-SACP,Single Arm Cable Press,Push,Chest,Triceps; Anterior Delts; Core,EQ-CAB,Unilateral,Compound,False,False,,Right extension not as strong as left; some trap recruitment,Single arm cable press in split stance  
EX-SACPSS,Single Arm Cable Press (split stance),Push,Chest,Triceps; Anterior Delts; Core,EQ-CAB,Unilateral,Compound,False,False,EX-SACP,Right extension not as strong as left,Split stance variant  
EX-MCP,Machine Chest Press,Push,Chest,Triceps; Anterior Delts,EQ-LF-CP,Bilateral,Compound,False,False,EX-NGDFP,Right anterior capsule awareness on eccentric,Selectorized chest press machine  
EX-SAVPBP,Single-Arm Vertical Plate Balance Press,Push,Chest,Triceps; Stabilizers; Core,EQ-PLT,Unilateral,Compound,False,False,,Left has more control than right,Vertical plate balance floor press  
EX-SADBP,Single-Arm DB Balance Press,Push,Chest,Triceps; Stabilizers; Core,EQ-DB,Unilateral,Compound,False,False,EX-SAVPBP,Well tolerated,Single arm DB balance press  
EX-CSF,Cable Fly (Standing),Push,Chest,Anterior Delts,EQ-CAB,Bilateral,Isolation,False,False,,Well tolerated with cuff attachment,Standing cable fly  
EX-CHMF,Cable High To Mid Fly,Push,Chest,Anterior Delts,EQ-CAB,Bilateral,Isolation,False,False,EX-CSF,Right tightness at full extension; slightly shorten ROM,High to mid cable fly  
