ExerciseLogID,SessionID,ExerciseName,SetNumber,WeightLbs,Reps,DurationSeconds,DistanceValue,DistanceUnit,TempoEccentric,TempoPause,TempoConcentric,RIR,SupersetGroupID,GeneralNotes,PhaseID,ExerciseDateTime,Category
E-20260103-0001,S-20260103-01,Farmer's Walk,1,140.0,,60.0,,,,,,,,,1,2026-01-03T19:42:08.996Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0002,S-20260103-01,Farmer's Walk,2,140.0,,60.0,,,,,,,,,1,2026-01-03T19:44:16.831Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0003,S-20260103-01,Farmer's Walk,3,140.0,,45.0,,,,,,,,,1,2026-01-03T19:46:31.514Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0004,S-20260103-01,Farmer's Walk,4,140.0,,39.6,,,,,,,,,1,2026-01-03T19:48:31.439Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0005,S-20260103-01,Farmer's Walk,5,140.0,,39.6,,,,,,,,,1,2026-01-03T19:50:30.621Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0006,S-20260103-01,Body Row,1,0.0,10.0,,,,2.0,1.0,2.0,,,Tempo 2-1-2,1,2026-01-03T19:56:10.985Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0007,S-20260103-01,Body Row,2,0.0,8.0,,,,2.0,1.0,2.0,,,Tempo 2-1-2,1,2026-01-03T19:57:44.745Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0008,S-20260103-01,Body Row,3,0.0,8.0,,,,2.0,1.0,2.0,,,Tempo 2-1-2,1,2026-01-03T19:59:28.012Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0009,S-20260103-01,Body Row,4,0.0,7.0,,,,2.0,1.0,2.0,,,Tempo 2-1-2; grip slipping on 6-7 (sweat and a little fatigue),1,2026-01-03T20:01:51.758Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
E-20260103-0010,S-20260103-01,Neutral Grip Seated 2 Arm Row,1,100.0,10.0,,,,,,,,,"Shoulder width neutral grip (i.e., wide grip neutral attachment)",1,2026-01-03T20:04:43.861Z,"=IFERROR(INDEX(tbl_Lookup_Exercises[Category],MATCH(tbl_Exercises[[#This Row],[ExerciseName]],tbl_Lookup_Exercises[ExerciseName],0)),""Unknown"")"
