PRID,ExerciseName,PRType,PRValue,PRUnit,PRDate,PhaseID,SessionID,PreviousBest,PreviousBestDate,SetDetails,Notes,,,
PR-001,Machine Row,Heaviest Weight,210.0,lbs,2026-06-22,7,S-20260622-01,207.5,2026-01-31,5.5 reps @ 210 lbs,Phase 7 peak; progressive build from 130 lbs in Phase 2 ,,,
PR-002,Neutral Grip Dumbbell Floor Press,Heaviest Weight,150.0,lbs,2026-06-30,7,S-20260630-01,140,2026-06-04,6.5 reps @ 150 lbs (75 per hand),Phase 7 overload attempt; primary pressing PR ,,,
PR-003,Dumbbell Romanian Deadlift,Heaviest Weight,170.0,lbs,2026-07-30,8,S-20260730-01,160,2026-05-03,8 reps @ 170 lbs (85 per hand),Phase 8; progressive from 110 in Phase 3 ,,,
PR-004,Chest Supported DB Row (Spider),Heaviest Weight,75.0,lbs,2026-04-01,4,S-20260401-01,70,2026-03-20,7 reps @ 75 lbs per hand,Maintained through Phases 5-8,,,
PR-005,Farmer's Walk,Longest Duration,75.0,seconds,2026-07-05,8,S-20260705-01,70,2026-06-29,75 sec @ 150 lbs at 2 mph 0.5% incline,Phase 8; consistent 150 lbs load ,,,
PR-006,Farmer's Hold,Longest Duration,80.0,seconds,2026-06-07,6,S-20260607-01,70,2026-05-08,80 sec @ 150 lbs,Phase 6 peak ,,,
PR-007,Farmer's Walk,Heaviest Weight,170.0,lbs,2026-07-30,8,S-20260730-01,150,2026-01-12,55 sec @ 170 lbs (85 per hand),Phase 8 at NXGen gym with heavier DBs ,,,
PR-008,Farmer's Hold,Heaviest Weight,200.0,lbs,2026-07-31,8,S-20260731-01,150,2026-01-16,49 sec @ 200 lbs (100 per hand),Phase 8 heavy hold attempt ,,,
PR-009,Single-Arm Neutral Grip Cable Pulldown,Heaviest Weight,85.0,lbs,2026-04-01,4,S-20260401-01,80,2026-02-18,10 reps @ 170 lbs,Maintained through Phases 5-8 ,,,
PR-010,Suitcase Carries,Longest Duration,75.0,seconds,2026-04-24,5,S-20260424-01,65,2026-03-20,75 sec @ 75 lbs per hand,Phase 5 peak,,,
PR-011,Seated Single Arm DB Curl - Anchored,Heaviest Weight,45.0,lbs,2026-01-18,2,S-20260118-01,40,2026-01-18,5 reps @ 45 lbs Phase 2 peak; transitioned to other curl variations ,,,,
PR-012,DB Spider Curl (Hammer),Heaviest Weight,35.0,lbs,2026-06-07,6,S-20260607-01,15x70,2026-05-26,15 reps @ 80 lbs total (40 per hand),Phase 6 peak volume set,,,
PR-013,Rope Push-Downs,Heaviest Weight,50.0,lbs,2026-04-20,5,S-20260420-01,45,2026-03-11,13 reps @ 50 lbs,Maintained through Phases 5-8 ,,,
PR-014,Single-Arm Overhead Cable Extension,Heaviest Weight,27.5,lbs,2026-07-31,8,S-20260731-01,25,2026-07-28,10 reps @ 27.5 lbs,Phase 8 peak,,,
PR-015,High Cable Tricep Pushdown,Heaviest Weight,75.0,lbs,2026-07-25,8,S-20260725-01,70,2026-07-03,8 reps @ 75 lbs Phase 8 peak ,,,,
PR-016,Smith Machine Bench Press,Heaviest Weight,185.0,lbs,2026-02-16,3,S-20260216-01,175,2026-02-09,5 reps @ 185 lbs,Phase 3; transitioned away from Smith bench,,,
PR-017,Supine Press Machine - Plate Loaded (Planet Fitness),Heaviest Weight,200.0,lbs,2026-02-03,2,S-20260203-01,180,2026-01-25,6 reps @ 200 lbs,Phase 2 peak,,,
PR-018,Goblet Squat,Heaviest Weight,80.0,lbs,2026-07-30,8,S-20260730-01,75,2026-07-25,10 reps @ 80 lbs,Phase 8; introduced in Phase 7 ,,,
PR-019,Bulgarian Split Squat,Heaviest Weight,50.0,lbs,2026-04-27,5,S-20260427-01,45,2026-07-30,8 reps @ 50 lbs total (25 per hand),Phase 5 peak load,,,
PR-020,Standing Calf Raise,Heaviest Weight,120.0,lbs,2026-07-30,8,S-20260730-01,110,2026-07-25,15 reps @ 120 lbs barbell,Phase 8 peak,,,
PR-021,Incline Dumbell Curl (Supinated,Heaviest Weight,40.0,lbs,2026-04-11,5,S-20260411-01,35,2026-04-11,6 reps @ 40 lbs per hand alternating,Phase 5 peak,,,
PR-022,Low-Incline DB Press (15-30°),Heaviest Weight,80.0,lbs,2026-05-05,5,S-20260505-01,70,2026-04-18,10 reps @ 80 lbs total (40 per hand),Phase 5 peak,,,
PR-023,Kneeling Cable Row,Heaviest Weight,150.0,lbs,2026-03-03,3,S-20260303-01,145,2026-01-21,11 reps @ 150 lbs,Phase 3 peak; transitioned to other row variations,,,
PR-024,Rowing (2K),Best Time,462.0,seconds,2026-02-13,3,S-20260213-01,464,2026-02-07,7:42 (462 sec) for 2K,Phase 3; 7 min 42 sec ,,,
PR-025,Machine Chest Press,Heaviest Weight,125.0,lbs,2026-06-30,7,S-20260630-01,120,2026-06-30,9 reps @ 125 lbs,Phase 7 peak,,,
PR-026,Seated Neutral Grip DB Overhead Pres,Heaviest Weight,50.0,lbs,2026-07-28,8,S-20260728-01,40,2026-07-23,12 reps @ 50 lbs total (25 per hand),Phase 8; OHP reintroduction success ,,,
PR-027,Cable Fly (Standing),Heaviest Weight,32.5,lbs,2026-06-30,7,S-20260630-01,30,2026-06-23,12 reps @ 32.5 lbs per side,Phase 7 peak,,,
PR-028,Dead Hang,Longest Duration,61.0,seconds,2026-06-30,7,S-20260630-01,55,2026-06-22,61 sec bodyweight,Phase 7 peak,,,
PR-029,Plate Pinch,Longest Duration,84.0,seconds,2026-06-30,7,S-20260630-01,74,2026-06-29,84 sec @ 50 lbs total (25 per hand),Phase 7 peak,,,
PR-030,Face Pull,Heaviest Weight,50.0,lbs,2026-04-14,5,S-20260414-01,47.5,2026-07-31,20 reps @ 50 lbs,Phases 5-8 ,,,
PR-031,Half-Kneeling Single Arm Cable Row,Heaviest Weight,67.5,lbs,2026-06-06,6,S-20260606-01,65,2026-05-30,11 reps @ 67.5 lbs,Phase 6 peak,,,
PR-032,Anchored Single Arm Dumbbell Curl,Heaviest Weight,40.0,lbs,2026-05-09,6,S-20260509-01,35,2026-05-18,4 reps @ 40 lbs Test set; working weight remained at 35 lbs,,,,
